position,person,personID,start,gender,DOB,DOD,image,enwiki
Prime Minister,Bárður á Steig Nielsen,Q853551,2019-09-16,male,1972-04-16,,Bardur Nielsen.jpg,Bárður á Steig Nielsen
Deputy Prime Minister,Jørgen Niclasen,Q903946,2019-09-16,male,1969-01-17,,Jorgen Niclasen (2).jpg,Jørgen Niclasen
Minister of Finance,Jørgen Niclasen,Q903946,2019-09-16,male,1969-01-17,,Jorgen Niclasen (2).jpg,Jørgen Niclasen
Minister of Health,Kaj Leo Johannesen,Q331786,2019-09-16,male,1964-08-28,,KajLeoJohannesen crop.jpg,Kaj Leo Johannesen
Minister of Fisheries,Árni Skaale,Q110472679,2022-01-06,male,1966,,,
Minister of Foreign Affairs,Jenis av Rana,Q254129,2019-09-16,male,1953-01-07,,Jenis av Rana (2).jpg,Jenis av Rana
Minister of Labour and the Environment,Magnus Rasmussen,Q17106707,2021-08-19,male,1962-11-28,,,
Minister of Social Affairs,Sólvit Nolsø,Q110472709,2022-01-06,male,,,,
Speaker of the Løgting,Jógvan á Lakjuni,Q932304,2019,male,1952-11-13,,Jogvan a Lakjuni 2.jpeg,Jógvan á Lakjuni
